"SPECIES_GROUP_ID","SPECIES_GROUP_CODE","SPECIES_GROUP_NAME","SG_EFFECTIVE_DATE","AGENCY","AGENCY_SPECIES_ID","AGENCY_SPECIES_CODE","AGENCY_SPECIES_NAME","MANAGEMENT_AREA_ID","MANAGEMENT_AREA_CODE"
33,"SRRE","AI & GOA Shortraker/Rougheye Rockfish",01-JAN-86,"AKR",45,"171","Shortraker/Rougheye Rockfish",31,"GOA"
33,"SRRE","AI & GOA Shortraker/Rougheye Rockfish",01-JAN-86,"AKR",45,"171","Shortraker/Rougheye Rockfish",21,"AI"
33,"SRRE","AI & GOA Shortraker/Rougheye Rockfish",01-JAN-86,"AKR",31,"151","Rougheye Rockfish",21,"AI"
33,"SRRE","AI & GOA Shortraker/Rougheye Rockfish",01-JAN-86,"AKR",31,"151","Rougheye Rockfish",31,"GOA"
33,"SRRE","AI & GOA Shortraker/Rougheye Rockfish",01-JAN-86,"AKR",32,"152","Shortraker Rockfish",21,"AI"
33,"SRRE","AI & GOA Shortraker/Rougheye Rockfish",01-JAN-86,"AKR",32,"152","Shortraker Rockfish",31,"GOA"
40,"SCNO","AI - Sharpchin-Northern Rockfish",01-JAN-86,"AKR",41,"166","Sharpchin Rockfish",21,"AI"
40,"SCNO","AI - Sharpchin-Northern Rockfish",01-JAN-86,"AKR",18,"136","Northern Rockfish",21,"AI"
5,"ARTH","Arrowtooth Flounder",01-JAN-86,"AKR",4,"121","Arrowtooth/Kamchatka Flounder",31,"GOA"
132,"ARTH","Arrowtooth Flounder",01-JAN-11,"AKR",1506,"121","Arrowtooth Flounder",31,"GOA"
5,"ARTH","Arrowtooth Flounder",01-JAN-86,"AKR",4,"121","Arrowtooth/Kamchatka Flounder",20,"BS"
5,"ARTH","Arrowtooth Flounder",01-JAN-86,"AKR",4,"121","Arrowtooth/Kamchatka Flounder",21,"AI"
132,"ARTH","Arrowtooth Flounder",01-JAN-11,"AKR",1506,"121","Arrowtooth Flounder",21,"AI"
132,"ARTH","Arrowtooth Flounder",01-JAN-11,"AKR",1506,"121","Arrowtooth Flounder",20,"BS"
43,"AMCK","Atka Mackerel",01-JAN-86,"AKR",56,"193","Atka Mackerel",31,"GOA"
43,"AMCK","Atka Mackerel",01-JAN-86,"AKR",56,"193","Atka Mackerel",21,"AI"
43,"AMCK","Atka Mackerel",01-JAN-86,"AKR",56,"193","Atka Mackerel",20,"BS"
32,"SRSN","BS - Sharpchin-Northern-Shortraker-Rougheye Rockfish",01-JAN-86,"AKR",31,"151","Rougheye Rockfish",20,"BS"
32,"SRSN","BS - Sharpchin-Northern-Shortraker-Rougheye Rockfish",01-JAN-86,"AKR",32,"152","Shortraker Rockfish",20,"BS"
32,"SRSN","BS - Sharpchin-Northern-Shortraker-Rougheye Rockfish",01-JAN-86,"AKR",45,"171","Shortraker/Rougheye Rockfish",20,"BS"
32,"SRSN","BS - Sharpchin-Northern-Shortraker-Rougheye Rockfish",01-JAN-86,"AKR",18,"136","Northern Rockfish",20,"BS"
32,"SRSN","BS - Sharpchin-Northern-Shortraker-Rougheye Rockfish",01-JAN-86,"AKR",41,"166","Sharpchin Rockfish",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",1047,"100","Flatfish, unidentified",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",1047,"100","Flatfish, unidentified",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",15,"133","Alaska Plaice Flounder",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",15,"133","Alaska Plaice Flounder",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",14,"132","Sand Sole",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",14,"132","Sand Sole",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",13,"131","Petrale Sole",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",13,"131","Petrale Sole",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",12,"129","Starry Flounder",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",12,"129","Starry Flounder",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",11,"128","English Sole",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",11,"128","English Sole",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",9,"126","Butter Sole",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",9,"126","Butter Sole",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",8,"125","Rex Sole",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",8,"125","Rex Sole",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",7,"124","Dover Sole",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",7,"124","Dover Sole",20,"BS"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",3,"120","Miscellaneous Flatfish",21,"AI"
3,"FLO5","BSAI - Other flatfish",01-JAN-86,"AKR",3,"120","Miscellaneous Flatfish",20,"BS"
69,"AKPL","BSAI Alaska Plaice",01-JAN-02,"AKR",15,"133","Alaska Plaice Flounder",20,"BS"
69,"AKPL","BSAI Alaska Plaice",01-JAN-02,"AKR",15,"133","Alaska Plaice Flounder",21,"AI"
134,"KMKA","BSAI Kamchatka Flounder",01-JAN-11,"AKR",1507,"117","Kamchatka Flounder",20,"BS"
134,"KMKA","BSAI Kamchatka Flounder",01-JAN-11,"AKR",1507,"117","Kamchatka Flounder",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",1513,"120","Miscellaneous Flatfish",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",7,"124","Dover Sole",20,"BS"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",13,"131","Petrale Sole",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",14,"132","Sand Sole",20,"BS"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",14,"132","Sand Sole",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",7,"124","Dover Sole",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",8,"125","Rex Sole",20,"BS"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",8,"125","Rex Sole",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",9,"126","Butter Sole",20,"BS"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",9,"126","Butter Sole",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",11,"128","English Sole",20,"BS"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",11,"128","English Sole",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",12,"129","Starry Flounder",20,"BS"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",12,"129","Starry Flounder",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",13,"131","Petrale Sole",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",13,"131","Petrale Sole",21,"AI"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",13,"131","Petrale Sole",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",12,"129","Starry Flounder",21,"AI"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",12,"129","Starry Flounder",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",11,"128","English Sole",21,"AI"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",11,"128","English Sole",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",9,"126","Butter Sole",21,"AI"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",9,"126","Butter Sole",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",8,"125","Rex Sole",21,"AI"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",8,"125","Rex Sole",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",7,"124","Dover Sole",21,"AI"
